City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vaini,TO,2021-04-04 15:31:00,-21.2,-175.2,75.2,83,75,5.75
68,Castro,BR,2021-04-04 15:28:02,-24.7911,-50.0119,70.39,59,69,6.91
69,Bluff,NZ,2021-04-04 15:30:24,-46.6,168.3333,57.0,69,70,3.0
70,Umm Kaddadah,SD,2021-04-04 15:31:00,13.6017,26.6876,88.56,9,5,15.99
71,Hilo,US,2021-04-04 15:29:54,19.7297,-155.09,68.0,83,75,4.61
72,Te Anau,NZ,2021-04-04 15:31:01,-45.4167,167.7167,55.89,68,23,11.92
73,Jamestown,US,2021-04-04 15:30:03,42.097,-79.2353,50.0,49,1,10.36
74,Qaanaaq,GL,2021-04-04 15:31:01,77.484,-69.3632,-12.93,67,15,6.8
75,Lucea,JM,2021-04-04 15:31:01,18.451,-78.1736,82.99,65,40,25.32
76,Akureyri,IS,2021-04-04 15:31:02,65.6835,-18.0878,14.0,92,90,28.77
77,Portland,US,2021-04-04 15:29:26,45.5234,-122.6762,50.0,66,75,9.22
78,Bridgetown,BB,2021-04-04 15:31:02,13.1,-59.6167,84.2,54,40,18.41
79,Hovd,MN,2021-04-04 15:31:02,48.0056,91.6419,34.32,22,58,0.96
80,Cozumel,MX,2021-04-04 15:31:03,20.5083,-86.9458,80.6,54,1,14.97
81,Atuona,PF,2021-04-04 15:31:03,-9.8,-139.0333,80.29,79,77,11.07
82,Bredasdorp,ZA,2021-04-04 15:31:03,-34.5322,20.0403,75.2,57,86,14.97
83,Saint-Ambroise,CA,2021-04-04 15:31:04,48.5501,-71.3324,37.99,69,98,1.14
84,Albany,US,2021-04-04 15:30:05,42.6001,-73.9662,48.99,27,25,6.62
85,Isangel,VU,2021-04-04 15:31:04,-19.55,169.2667,76.12,79,71,15.82
86,Jasaan,PH,2021-04-04 15:29:25,8.65,124.7833,75.94,79,100,3.2
87,Provideniya,RU,2021-04-04 15:31:04,64.3833,-173.3,-5.64,88,34,8.12
88,Haines Junction,CA,2021-04-04 15:31:05,60.7522,-137.5108,10.4,79,100,3.44
89,Viedma,AR,2021-04-04 15:27:05,-40.8135,-62.9967,81.39,36,6,17.76
90,Brae,GB,2021-04-04 15:31:05,60.3964,-1.353,39.2,60,20,29.93
91,Lagoa,PT,2021-04-04 15:31:05,39.05,-27.9833,60.19,79,100,16.6
92,Kapaa,US,2021-04-04 15:31:06,22.0752,-159.319,73.4,68,90,19.57
93,Goderich,CA,2021-04-04 15:31:06,43.7501,-81.7165,41.0,81,12,5.75
94,Nanortalik,GL,2021-04-04 15:31:06,60.1432,-45.2371,37.09,79,94,11.39
95,Rikitea,PF,2021-04-04 15:26:29,-23.1203,-134.9692,77.27,67,36,14.2
96,Sapa,PH,2021-04-04 15:31:07,5.1544,120.3241,81.25,80,89,5.59
97,Kiama,AU,2021-04-04 15:31:07,-34.6833,150.8667,66.0,87,0,1.01
98,Thompson,CA,2021-04-04 15:26:33,55.7435,-97.8558,23.0,58,20,4.61
99,Beringovskiy,RU,2021-04-04 15:26:37,63.05,179.3167,-11.54,97,27,6.85
100,Nalut,LY,2021-04-04 15:31:07,30.3333,10.85,89.62,8,79,17.58
101,Filingue,NE,2021-04-04 15:31:08,14.3521,3.3168,100.42,4,0,3.6
102,Arraial Do Cabo,BR,2021-04-04 15:31:08,-22.9661,-42.0278,82.4,65,40,14.97
103,Sioux Lookout,CA,2021-04-04 15:26:29,50.1001,-91.917,46.4,42,75,12.66
104,Panjab,AF,2021-04-04 15:31:09,34.388,67.0233,36.1,94,82,1.61
105,Mehamn,NO,2021-04-04 15:31:09,71.0357,27.8492,33.8,86,75,17.27
106,Nara,JP,2021-04-04 15:31:09,34.6851,135.8049,55.99,80,100,6.91
107,Kruisfontein,ZA,2021-04-04 15:31:09,-34.0033,24.7314,73.0,51,0,8.99
108,Richards Bay,ZA,2021-04-04 15:30:08,-28.783,32.0377,68.14,70,0,6.35
109,Bathsheba,BB,2021-04-04 15:29:16,13.2167,-59.5167,84.2,54,40,18.41
110,Asosa,ET,2021-04-04 15:31:10,10.0667,34.5333,82.24,20,89,5.32
111,Mae Hong Son,TH,2021-04-04 15:31:10,19.3003,97.9685,74.44,74,93,2.08
112,Gautier,US,2021-04-04 15:31:10,30.3858,-88.6117,66.2,45,1,4.61
113,Iqaluit,CA,2021-04-04 15:30:12,63.7506,-68.5145,10.4,72,20,5.75
114,Vanimo,PG,2021-04-04 15:31:11,-2.6741,141.3028,78.35,88,100,0.45
115,Naze,JP,2021-04-04 15:31:11,28.3667,129.4833,61.52,77,100,16.62
116,Farafangana,MG,2021-04-04 15:31:11,-22.8167,47.8333,78.66,83,1,12.33
117,Praia Da Vitoria,PT,2021-04-04 15:26:20,38.7333,-27.0667,62.6,77,20,18.54
118,Ferrol,ES,2021-04-04 15:31:12,43.4832,-8.2369,69.01,45,0,8.05
119,Taltal,CL,2021-04-04 15:31:12,-25.4,-70.4833,69.39,68,51,7.43
120,Alofi,NU,2021-04-04 15:31:12,-19.0595,-169.9187,71.6,100,97,2.3
121,Jardim,BR,2021-04-04 15:31:13,-21.4803,-56.1381,96.08,24,86,6.33
122,Itaueira,BR,2021-04-04 15:31:13,-7.6033,-43.0256,93.69,34,61,8.28
123,Saint George,US,2021-04-04 15:27:06,37.1041,-113.5841,55.4,26,1,3.04
124,Puerto Ayora,EC,2021-04-04 15:31:13,-0.7393,-90.3518,80.6,78,20,9.22
125,Nikolskoye,RU,2021-04-04 15:31:14,59.7035,30.7861,43.0,65,20,13.42
126,Roald,NO,2021-04-04 15:31:14,62.5833,6.1333,35.6,87,75,19.57
127,Bambous Virieux,MU,2021-04-04 15:31:14,-20.3428,57.7575,82.0,78,20,8.05
128,Kavieng,PG,2021-04-04 15:31:14,-2.5744,150.7967,77.09,91,100,8.28
129,Altamira,BR,2021-04-04 15:29:08,-3.2033,-52.2064,82.4,89,75,6.91
130,Mayo,US,2021-04-04 15:31:15,38.8876,-76.5119,64.0,31,1,8.05
131,Farah,AF,2021-04-04 15:31:15,32.5,62.5,65.26,17,4,15.86
132,Comodoro Rivadavia,AR,2021-04-04 15:30:20,-45.8667,-67.5,71.6,56,0,6.17
133,Maues,BR,2021-04-04 15:31:15,-3.3836,-57.7186,91.15,48,99,5.23
134,Cayenne,GF,2021-04-04 15:31:16,4.9333,-52.3333,77.0,94,75,5.75
135,Mosetse,BW,2021-04-04 15:31:16,-20.75,26.65,80.4,35,2,11.16
136,Kargil,IN,2021-04-04 15:31:16,34.5667,76.1,31.15,92,100,1.43
137,Bichena,ET,2021-04-04 15:31:17,10.45,38.2,70.79,24,21,4.21
138,Banda Aceh,ID,2021-04-04 15:31:17,5.5577,95.3222,80.53,78,90,7.02
139,Sola,VU,2021-04-04 15:31:17,-13.8833,167.55,81.57,79,99,16.71
