City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Kailua,US,71.6,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
151,Yanam,IN,76.64,few clouds,16.73,82.22,The Regency Hotel
154,Emerald,AU,69.8,light rain,-23.53,148.17,The Irish Village
157,Tashigang,BT,62.02,scattered clouds,27.33,91.55,Lingkhar Lodge
160,Lata,PT,62.01,overcast clouds,40.16,-8.33,Casa Maquia
161,Kabare,CD,62.56,light rain,-2.47,28.82,Hôtel Panorama
162,Charters Towers,AU,71.35,broken clouds,-20.1,146.27,Cattleman's Rest Motor Inn
165,Gat,IL,59.0,scattered clouds,31.61,34.76,OlusHome
166,Hamilton,US,64.4,moderate rain,39.18,-84.53,Six Acres Bed & Breakfast
169,Morehead,US,66.99,overcast clouds,37.27,-87.18,CCI Express Inn
172,Rexburg,US,55.4,clear sky,43.83,-111.79,AmericInn by Wyndham Rexburg BYUI
173,Tateyama,JP,50.0,few clouds,34.98,139.87,Tateyama Seaside Hotel
174,Lagoa,PT,59.68,overcast clouds,39.05,-27.98,Casa Das Faias
175,Itanagar,IN,69.33,scattered clouds,27.1,93.62,OYO 45507 Hotel Moomsie
181,Fort Morgan,US,59.0,clear sky,40.25,-103.8,Hampton Inn Fort Morgan
182,Son La,VN,66.15,scattered clouds,21.32,103.9,Galaxy Grand Hotel
183,Westport,US,66.99,few clouds,41.14,-73.36,The Westport Inn
186,Pierre,US,51.8,clear sky,44.37,-100.35,Ramkota Hotel
195,Hirara,JP,72.37,few clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
196,Cauquenes,CL,69.1,clear sky,-35.97,-72.32,Viña Don Heraldo
197,Pangai,TO,77.27,light rain,-19.8,-174.35,Ha'apai Beach Resort
200,Ancud,CL,57.99,overcast clouds,-41.87,-73.82,Hotel Arena Gruesa
201,Inhambane,MZ,77.0,few clouds,-23.86,35.38,Oceano
203,Damietta,EG,57.2,scattered clouds,31.42,31.81,العواد لتجارة الابلكاش
205,Elizabeth City,US,75.99,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
206,Garden City,US,75.2,few clouds,42.33,-83.33,Quality Inn & Suites Banquet Center
207,Broken Hill,AU,51.8,clear sky,-31.95,141.43,Daydream Motel & Cottages
209,Saint-Francois,FR,57.2,clear sky,46.42,3.91,Manoir Du Bonheur
210,Rengo,CL,64.4,clear sky,-34.42,-70.87,Hostal Cartagena
211,Kavieng,PG,78.51,light rain,-2.57,150.8,Nusa Island Retreat
215,San Quintin,MX,64.4,scattered clouds,30.48,-115.95,Don Eddie's Sport Fishing Center
216,Vila Franca Do Campo,PT,62.6,broken clouds,37.72,-25.43,Pestana Bahia Praia
219,Shelburne,CA,73.0,clear sky,44.08,-80.2,The Retreat at the Farm
221,Mar Del Plata,AR,68.0,light rain,-38.0,-57.56,Gran Hotel Mar del Plata
222,Delta Del Tigre,UY,68.0,moderate rain,-34.76,-56.39,FINCA SUAREZ
223,Oranjemund,NA,61.97,scattered clouds,-28.55,16.43,The Fisherman's Cove
224,Noumea,NC,78.01,light rain,-22.28,166.46,Hôtel Le Lagon
225,Veinticinco De Mayo,AR,66.99,overcast clouds,-35.43,-60.17,Estancia La Rosada
226,Galesong,ID,75.2,few clouds,-5.32,119.37,Sapriadi Appy
228,San Policarpo,PH,79.21,overcast clouds,12.18,125.51,JM Lodge
230,East London,ZA,68.0,clear sky,-33.02,27.91,Tu Casa
239,Castro,BR,78.4,clear sky,-24.79,-50.01,CHACARA BAILLY
241,Hauterive,FR,57.2,clear sky,46.09,3.45,Aletti Palace Hotel
242,Tarakan,ID,77.0,scattered clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
244,Maxixe,MZ,77.0,few clouds,-23.86,35.35,Oceano
245,Naze,JP,62.73,overcast clouds,28.37,129.48,奄美ポートタワーホテル
246,Tezu,IN,68.88,light rain,27.92,96.17,Circuit House
247,Neiafu,TO,71.6,scattered clouds,-18.65,-173.98,Mystic Sands
248,Inirida,CO,72.27,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
249,Porto-Vecchio,FR,57.2,overcast clouds,41.59,9.28,Hôtel Le Goéland - Casa Santini
260,Pisco,PE,73.99,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
261,Fengxian,CN,51.33,light rain,34.7,116.59,Tongrenju Hotel
271,Taltal,CL,68.31,overcast clouds,-25.4,-70.48,Residencial Karime
274,Pauini,BR,72.57,overcast clouds,-7.71,-66.98,Casa do Kiwliks
280,Flinders,AU,60.01,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
281,Mayskiy,RU,51.8,few clouds,47.69,40.1,Dio Lakrua
282,Isiro,CD,68.18,light rain,2.77,27.62,Guest House Hewa Bora
286,Halifax,CA,53.6,broken clouds,44.65,-63.57,Hotel Halifax
287,Kyenjojo,UG,63.7,light rain,0.63,30.62,Tropical Gardens
288,Ulladulla,AU,57.99,clear sky,-35.35,150.47,Sandpiper Motel
290,Cangzhou,CN,57.27,broken clouds,38.32,116.87,Jinji Express Hotel
292,Bandrele,YT,78.8,overcast clouds,-12.91,45.19,Les Baobabs
299,Junin,AR,65.59,overcast clouds,-34.58,-60.94,Hotel Copahue
302,Abha,SA,69.8,few clouds,18.22,42.51,Abha Hotel
303,Gwanda,ZW,67.05,clear sky,-20.93,29.0,Mafax Homeways
309,Mahon,ES,59.0,broken clouds,39.89,4.27,ARTIEM Capri
313,Banda Aceh,ID,79.68,scattered clouds,5.56,95.32,Sulthan Hotel International
314,Huarmey,PE,74.12,broken clouds,-10.07,-78.15,Hotel Miramar
316,Sola,VU,79.29,overcast clouds,-13.88,167.55,Ulkel Guest House
321,Aksu,CN,57.61,clear sky,41.12,80.26,Pudong Holiday Hotel
324,Luganville,VU,76.46,overcast clouds,-15.53,167.17,The Espiritu Hotel
325,Fairview,US,69.01,scattered clouds,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
327,Padang,ID,77.0,scattered clouds,-0.95,100.35,Mercure Padang
328,Nantucket,US,53.01,overcast clouds,41.28,-70.1,Jared Coffin House
336,Plettenberg Bay,ZA,62.17,overcast clouds,-34.05,23.37,Thanda Vista B&B
338,Opunake,NZ,61.0,scattered clouds,-39.46,173.86,Walton Cottage
339,Korla,CN,57.54,clear sky,41.76,86.15,Gulisitan Hotel
340,Constitucion,CL,63.41,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
341,Narrabri,AU,53.01,few clouds,-30.32,149.78,Crossroads Hotel
342,Kahului,US,66.2,few clouds,20.89,-156.47,Maui Seaside Hotel
345,Camacha,PT,66.2,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
348,Hami,CN,56.91,broken clouds,42.8,93.45,Laoyutang Resort
349,Gisborne,NZ,70.0,broken clouds,-38.65,178.0,ASURE Alfresco Motor Lodge
352,Billings,US,63.0,scattered clouds,45.78,-108.5,Best Western Plus Clocktower Inn
353,Bowen,AU,75.2,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
355,Ahuimanu,US,73.4,few clouds,21.44,-157.84,Paradise Bay Resort
356,Chuy,UY,67.64,moderate rain,-33.7,-53.46,Nuevo Hotel Plaza
357,Van,TR,55.4,broken clouds,38.49,43.38,Elite World Van Hotel
358,Yokadouma,CM,72.86,light rain,3.52,15.05,Hôtel De Ville De Yokadouma
359,Moose Factory,CA,57.2,overcast clouds,51.26,-80.61,Moosonee Lilypad
362,Nichinan,JP,52.61,few clouds,31.6,131.37,Guest House Aki
363,Le Pradet,FR,50.0,moderate rain,43.11,6.02,Hôtel Kyriad Toulon La Garde
365,Marshall,US,66.99,overcast clouds,34.38,-86.33,Lake Guntersville Bed and Breakfast
367,Rincon,US,77.0,broken clouds,32.3,-81.24,Days Inn Rincon
369,Erenhot,CN,50.67,broken clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
371,Hohhot,CN,50.0,scattered clouds,40.81,111.65,Sheraton Hohhot Hotel
372,Lhokseumawe,ID,78.89,few clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
374,Comodoro Rivadavia,AR,60.8,clear sky,-45.87,-67.5,Hotel Victoria
376,Merauke,ID,78.55,overcast clouds,-8.47,140.33,PC
379,Cam Ranh,VN,77.0,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
380,Tocopilla,CL,71.98,overcast clouds,-22.09,-70.2,Hotel Galvarino
381,Ahipara,NZ,62.96,few clouds,-35.17,173.17,Ahipara Holiday Park
382,Biak,ID,76.62,overcast clouds,-0.91,122.88,Penginapan Kim
383,Souillac,MU,78.8,scattered clouds,-20.52,57.52,Bils' Villa
385,Camana,PE,72.5,overcast clouds,-16.62,-72.71,Hostal Morales
388,Palmerston,AU,77.0,overcast clouds,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
400,Nueve De Julio,AR,66.99,overcast clouds,-35.44,-60.88,Grand Hotel Libertad - GHL
401,San Rafael,AR,52.86,overcast clouds,-34.62,-68.33,Hotel San Rafael
403,Zhanaozen,KZ,74.91,scattered clouds,43.3,52.8,K.korabay 28A
404,Luderitz,NA,75.88,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
406,Mehran,IR,68.0,scattered clouds,33.12,46.16,بوتیک زنانه بهار
408,Pemangkat,ID,78.69,broken clouds,1.17,108.97,Kost H.Syamsuddin
411,Isangel,VU,77.18,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
413,Zemio,CF,72.45,overcast clouds,5.03,25.14,OCHA Office
418,Haicheng,CN,51.4,light rain,40.85,122.75,Haicheng Grand Hotel
419,Barcelona,ES,57.2,broken clouds,41.39,2.16,Axel Hotel Barcelona
420,Brigantine,US,68.0,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
421,Rio Gallegos,AR,66.2,scattered clouds,-51.62,-69.22,Hotel Santa Cruz
423,Miranda De Ebro,ES,59.0,light rain,42.69,-2.95,Hospedería El Convento
424,Necochea,AR,64.99,light rain,-38.55,-58.74,dyd -mar Hotel
425,Kaeo,NZ,63.0,broken clouds,-35.1,173.78,Bushido Lodge
428,Waipawa,NZ,64.4,broken clouds,-41.41,175.52,Tora Coastal Walk
429,Booue,GA,79.27,overcast clouds,-0.09,11.94,Splendeur de l'équateur
430,Cairns,AU,77.0,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
432,Mola Di Bari,IT,55.99,scattered clouds,41.06,17.09,Hotel Gabbiano
436,Saint-Paul,RE,79.0,light rain,-21.01,55.27,Boucan Canot
438,Praia Da Vitoria,PT,60.8,broken clouds,38.73,-27.07,Hotel Branco I
440,Amuntai,ID,73.99,broken clouds,-2.42,115.25,Hotel Balqis
441,Rundu,NA,69.03,clear sky,-17.93,19.77,Millennia Estate
446,Ambon,ID,79.65,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
448,Paris,FR,57.2,light rain,48.85,2.35,Citadines Saint-Germain-des-Prés Paris
449,Pokhara,NP,68.23,clear sky,28.23,83.98,Butterfly Lodge
453,Shakawe,BW,69.89,clear sky,-18.37,21.85,Ditlhapi Guest House
454,Zharkent,KZ,58.28,clear sky,44.16,80.0,гостиница Satti
457,Muros,ES,59.0,overcast clouds,42.78,-9.06,Apartment Av. Castelao
459,Jalu,LY,64.92,broken clouds,29.03,21.55,صاحبة الفخامة
461,Bom Jardim,BR,78.8,broken clouds,-7.8,-35.59,Pousada do Posto Jose Breno
462,Loikaw,MM,71.71,scattered clouds,19.67,97.21,Myat Nan Taw Hotel
463,Takaka,NZ,62.01,scattered clouds,-40.85,172.8,Golden Bay Motels
465,Butte,US,62.6,clear sky,39.65,-121.57,Meadowbrook Oak's RV and Mobile Home Park
466,Roma,US,75.99,clear sky,43.21,-75.46,Wingate By Wyndham Rome
467,Poroszlo,HU,55.4,clear sky,47.65,20.67,Kamillaház
471,Muroto,JP,54.81,scattered clouds,33.28,134.15,Oota Ryokan
476,Mardin,TR,62.6,clear sky,37.31,40.74,Reyhani Kasri Hotel
477,Kondagaon,IN,79.12,broken clouds,19.6,81.67,AYAN MOTER
482,Kieta,PG,77.27,light rain,-6.22,155.63,Uruna Bay Retreat
483,Richards Bay,ZA,72.18,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
488,Mariani,IN,75.96,scattered clouds,26.67,94.33,Bitupan Saikia
490,Ilo,PE,71.6,broken clouds,-17.64,-71.34,Torreblanca Hotel
492,Dolores,AR,63.19,overcast clouds,-36.31,-57.68,Apart Hotel - Arianos
495,Glenwood Springs,US,57.0,clear sky,39.55,-107.32,Glenwood Springs Cedar Lodge
506,Atlantic City,US,68.0,clear sky,39.36,-74.42,Resorts Casino Hotel
507,Rio Grande,BR,77.0,moderate rain,-32.03,-52.1,Hotel Atlântico Rio Grande
511,Kashi,CN,55.4,clear sky,39.45,75.98,帕米尔青年旅舍
514,Ano Poroia,GR,51.01,scattered clouds,41.28,23.03,Hotel Epavlis
516,Pyinmana,MM,79.99,clear sky,19.73,96.22,"Win (Computer, Copier, Digital Stamp, Invitation Card, Trophy) Shop"
518,Huilong,CN,59.0,light rain,31.81,121.65,Hilton Garden Inn Qidong
519,Dingle,PH,75.54,broken clouds,11.0,122.67,SEGAYA PROPERTY
521,Lasa,IT,55.4,broken clouds,46.62,10.7,Pension Feldgärtenhof
523,Cascais,PT,63.0,broken clouds,38.7,-9.42,Hotel Vila Galé Cascais
527,Sorong,ID,78.67,overcast clouds,-0.88,131.25,waigo splash hotel
529,Calvinia,ZA,74.46,broken clouds,-31.47,19.78,Die Lemoenhuis
530,Camabatela,AO,63.19,overcast clouds,-8.19,15.38,Pensão E Restaurantes
531,Dindori,IN,79.38,overcast clouds,22.95,81.08,Mekla Restaurant
535,Kirakira,SB,79.0,overcast clouds,-10.45,161.92,SanBiz Lodge
537,Santo Antonio Do Monte,BR,76.48,clear sky,-20.09,-45.29,Hotel Planalto
538,Ampanihy,MG,73.42,clear sky,-24.7,44.75,Angora Hotel
540,Georgiyevka,KZ,55.4,clear sky,43.04,74.71,Gostinitsa Dostyk 1 U Zheni
543,Bitung,ID,73.4,scattered clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
547,Bireun,ID,78.84,scattered clouds,5.2,96.7,Rumah Mijoe
548,Bud,US,61.0,heavy intensity rain,39.45,-86.18,Ted McQuinn Trust
552,Christchurch,NZ,60.01,scattered clouds,-43.53,172.63,The George
556,Campoverde,PE,73.4,moderate rain,-8.48,-74.81,"Hospedaje ""Señor De Muruhuay"""
560,Jiayuguan,CN,52.14,broken clouds,39.82,98.3,Jiugang Hotel - Jiayuguan
561,Nabire,ID,74.84,light rain,-3.37,135.48,Hotel Nusantara Nabire
563,Perth,AU,75.2,light rain,-31.93,115.83,Beatty Lodge
567,Breyten,ZA,58.21,clear sky,-26.3,29.99,Breyten Hotel-Two Stars
568,Poum,NC,79.07,overcast clouds,-20.23,164.02,Gîte kajeon
571,Knysna,ZA,59.0,clear sky,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
572,Bay City,US,73.99,clear sky,43.59,-83.89,DoubleTree by Hilton Hotel Bay City - Riverfront
573,Vidalia,US,78.8,scattered clouds,32.22,-82.41,Quality Inn & Suites
575,Payakumbuh,ID,70.75,overcast clouds,-0.22,100.63,OYO 3114 Homestay Dalimo
578,Komsomolskiy,UZ,55.4,clear sky,40.43,71.72,Ikathouse
579,Saint-Gaudens,FR,62.6,scattered clouds,43.08,0.67,L'Ardiégeoise
580,Marivan,IR,56.35,broken clouds,35.52,46.18,Miran Hotel
582,Todos Santos,MX,71.01,overcast clouds,23.45,-110.22,Hotel California Todos Santos
586,Alofi,NU,73.4,scattered clouds,-19.06,-169.92,Taloa Heights
590,Talcahuano,CL,62.6,few clouds,-36.72,-73.12,Hotel Terramar
591,Mangrol,IN,79.84,clear sky,21.12,70.12,Hotel The Royal Honours
592,Waingapu,ID,76.42,clear sky,-9.66,120.26,Pondok Wisata Elim
593,Caramay,PH,79.57,scattered clouds,10.18,119.24,Peace and Love Beach Club
598,Nelson Bay,AU,59.0,clear sky,-32.72,152.15,Mantra Nelson Bay
599,Rocha,UY,66.7,moderate rain,-34.48,-54.33,Beleza Pura B&B
604,Manama,BH,77.0,clear sky,26.22,50.58,Concord International Hotel
605,Sungaipenuh,ID,64.8,overcast clouds,-2.08,101.38,Hotel Jaya Wisata 2
607,Port Victoria,KE,73.35,light rain,0.09,33.98,Homepark motel
608,Palafrugell,ES,55.4,overcast clouds,41.92,3.16,Hotel Garbi
609,Mira,IT,57.0,broken clouds,45.44,12.13,Villa Gasparini
611,Voh,NC,75.11,overcast clouds,-20.97,164.7,Le gîte du Koniambo
613,Iringa,TZ,57.94,overcast clouds,-7.77,35.7,M.R. Hotels ltd.
615,Hualmay,PE,74.01,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
617,Licata,IT,59.0,clear sky,37.11,13.95,Villa Giuliana
620,Cabedelo,BR,78.8,broken clouds,-6.98,-34.83,Hotel Pigalle
621,Mount Gambier,AU,50.0,scattered clouds,-37.83,140.77,Commodore on the Park
624,Kandrian,PG,76.14,moderate rain,-6.22,149.55,Kandrian Station
627,Charlestown,AU,60.01,clear sky,-32.95,151.67,Panorama Motor Inn Hotel
631,Ambovombe,MG,74.5,clear sky,-25.17,46.08,RELAHARA
636,Ovalle,CL,78.03,clear sky,-30.6,-71.2,Departamento Costa Peñuelas
638,Bairiki,KI,77.0,overcast clouds,1.33,172.98,Tarawa Boutique Hotel
639,Broome,US,73.0,clear sky,42.25,-75.83,Chenango Valley State Park
640,Mareeba,AU,77.0,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
641,Roxas,PH,78.17,broken clouds,11.59,122.75,Urban Manor
645,Tura,IN,73.49,clear sky,25.52,90.22,Hotel RIKMAN Continental
649,Los Llanos De Aridane,ES,69.8,few clouds,28.66,-17.92,Valle Aridane
650,Forio,IT,57.0,broken clouds,40.73,13.86,Hotel Terme Providence
655,Nampula,MZ,73.4,broken clouds,-15.12,39.27,Tacab Residencial
656,Mosquera,CO,66.2,broken clouds,4.71,-74.23,Hotel SJ
657,Chandigarh,IN,75.76,clear sky,30.73,76.79,Hotel Oyster
658,Meulaboh,ID,78.01,overcast clouds,4.14,96.13,Kost Pria
659,Spresiano,IT,57.2,overcast clouds,45.78,12.26,Hotel Spresiano
661,Matay,EG,60.03,clear sky,28.42,30.78,Nag Aespen
663,Rohatyn,UA,55.4,clear sky,49.41,24.61,Elit-Tsentr
667,Hokitika,NZ,57.63,few clouds,-42.72,170.97,Beachfront Hotel Hokitika
669,Havelock,US,78.8,scattered clouds,34.88,-76.9,Sherwood Motel
670,Misratah,LY,59.94,overcast clouds,32.38,15.09,فندق الماسة
672,Half Moon Bay,US,61.0,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
673,Awbari,LY,79.43,overcast clouds,26.59,12.78,فندق أوباري
676,Markova,UA,55.4,clear sky,48.68,24.41,Kempinh
679,Kendari,ID,74.41,overcast clouds,-3.94,122.5,Hotel Wixel
685,Ballitoville,ZA,75.0,clear sky,-29.54,31.21,Hotel Fairmont Zimbali Resort
691,Deda,RO,50.0,few clouds,46.93,24.9,Cabana LaCovrig
693,Batemans Bay,AU,52.0,clear sky,-35.72,150.18,Batemans Bay Marina Resort
696,Laguna,US,64.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
697,Guerrero Negro,MX,66.29,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
698,Cadiz,ES,66.2,few clouds,36.5,-5.75,Hacienda Barriche
703,Bismil,TR,60.8,scattered clouds,37.85,40.67,Dostlar Otomotiv
